     p_from_mw  q_from_mvar  ...  va_to_degree  loading_percent
0   154.281722    40.891273  ...     -5.742664        10.796468
1  -167.389359   -69.263802  ...     -8.836472        12.087088
2  -173.821879   -72.810276  ...     -8.808235        12.574267
3  -152.424139     7.045464  ...     -9.101136        10.314193
4   117.271184   -60.171362  ...    -10.111202         8.794545
5  -397.668708  -119.696090  ...     -5.742664        27.527639
6  -394.106339  -118.431441  ...     -5.742664        27.270274
7   300.628604   -12.478306  ...     -9.101136        21.091064
8   267.821289    -7.266768  ...     -9.101136        18.780161
9   267.821289    -7.266768  ...     -9.101136        18.780161
10  362.302842   188.579333  ...     -8.639633        27.330453
11  126.699062     0.526513  ...     -6.336253         8.414692
12  104.021193   -21.235978  ...     -9.518044         7.082767
13 -182.351105   -60.953681  ...     -9.101136        12.868232
14 -182.351105   -60.953681  ...     -9.101136        12.868232
15  -34.153199  -105.977009  ...    -15.140430        33.331172
16 -113.639864   -75.195943  ...    -11.849031        40.791545
17   65.246950    -8.770532  ...    -15.140430        19.414968
18  -61.902796   -74.175761  ...    -12.896844        28.491924
19  -67.024750   -17.312459  ...    -12.896844        19.830278
20   82.077330    82.750777  ...    -15.140430        33.585752
21 -173.421187   -48.665711  ...     -4.429320        12.330845
22 -254.281722   -70.891273  ...     -3.550012        17.950283

[23 rows x 14 columns]
